VFG037170(gb|WP_001081754)	VFC0235)]	 phospholipase C C - Exotoxin baumannii 1656-2]	Acinetobacter

VFG037177(gb|WP_000632986)	VFC0235)]	 phospholipase C C - Exotoxin baumannii ACICU]	Acinetobacter

VFG037172(gb|WP_001081748)	VFC0235)]	 phospholipase C C - Exotoxin baumannii AB0057]	Acinetobacter

VFG037173(gb|WP_000633004)	VFC0235)]	 phospholipase C C - Exotoxin baumannii AB0057]	Acinetobacter

VFG037176(gb|WP_001081735)	VFC0235)]	 phospholipase C C - Exotoxin baumannii ACICU]	Acinetobacter

VFG037178(gb|YP_001083140)	VFC0235)]	 phospholipase C C - Exotoxin baumannii ATCC 17978]	Acinetobacter

VFG037179(gb|YP_001085084)	VFC0235)]	 phospholipase C C - Exotoxin baumannii ATCC 17978]	Acinetobacter

VFG037182(gb|WP_001081755)	VFC0235)]	 phospholipase C C - Exotoxin baumannii BJAB07104]	Acinetobacter

VFG037184(gb|WP_001081758)	VFC0235)]	 phospholipase C C - Exotoxin baumannii BJAB0715]	Acinetobacter

VFG037185(gb|WP_020753227)	VFC0235)]	 phospholipase C C - Exotoxin baumannii BJAB0715]	Acinetobacter

VFG037186(gb|WP_001081765)	VFC0235)]	 phospholipase C C - Exotoxin baumannii BJAB0868]	Acinetobacter

VFG037188(gb|WP_001081762)	VFC0235)]	 phospholipase C C - Exotoxin baumannii D1279779]	Acinetobacter

VFG037189(gb|WP_000632992)	VFC0235)]	 phospholipase C C - Exotoxin baumannii D1279779]	Acinetobacter

VFG037194(gb|WP_001081740)	VFC0235)]	 phospholipase C C - Exotoxin baumannii SDF]	Acinetobacter

VFG037195(gb|WP_000633005)	VFC0235)]	 phospholipase C C - Exotoxin baumannii SDF]	Acinetobacter

VFG037196(gb|YP_005796961)	VFC0235)]	 phospholipase C C - Exotoxin baumannii TCDC-AB0715]	Acinetobacter

VFG037198(gb|WP_001081736)	VFC0235)]	 phospholipase C C - Exotoxin baumannii TYTH-1]	Acinetobacter

VFG037203(gb|WP_000079188)	VFC0235)]	 phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase D - Exotoxin baumannii ACICU]	Acinetobacter

VFG037201(gb|WP_000079186)	VFC0235)]	 phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase D - Exotoxin baumannii AB0057]	Acinetobacter

VFG037204(gb|YP_001085994)	VFC0235)]	 phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase D - Exotoxin baumannii ATCC 17978]	Acinetobacter

VFG037209(gb|WP_000079185)	VFC0235)]	 phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase D - Exotoxin baumannii D1279779]	Acinetobacter

VFG037212(gb|WP_000079187)	VFC0235)]	 phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase D - Exotoxin baumannii SDF]	Acinetobacter

VFG037218(gb|WP_000983821)	VFC0272)]	 acinetobactin biosynthesis protein BasJ - Nutritional/Metabolic factor baumannii ACICU]	Acinetobacter

VFG037216(gb|WP_000983826)	VFC0272)]	 acinetobactin biosynthesis protein BasJ - Nutritional/Metabolic factor baumannii AB0057]	Acinetobacter

VFG037219(gb|YP_001085393)	VFC0272)]	 acinetobactin biosynthesis protein BasJ - Nutritional/Metabolic factor baumannii ATCC 17978]	Acinetobacter

VFG037222(gb|WP_000983827)	VFC0272)]	 acinetobactin biosynthesis protein BasJ - Nutritional/Metabolic factor baumannii BJAB0715]	Acinetobacter

VFG037224(gb|WP_000983828)	VFC0272)]	 acinetobactin biosynthesis protein BasJ - Nutritional/Metabolic factor baumannii D1279779]	Acinetobacter

VFG037232(gb|WP_001093095)	VFC0272)]	 phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI - Nutritional/Metabolic factor baumannii ACICU]	Acinetobacter

VFG037230(gb|WP_001093105)	VFC0272)]	 phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI - Nutritional/Metabolic factor baumannii AB0057]	Acinetobacter

VFG037233(gb|YP_001085394)	VFC0272)]	 phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI - Nutritional/Metabolic factor baumannii ATCC 17978]	Acinetobacter

VFG037236(gb|WP_001093099)	VFC0272)]	 phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI - Nutritional/Metabolic factor baumannii BJAB0715]	Acinetobacter

VFG037238(gb|WP_001093106)	VFC0272)]	 phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI - Nutritional/Metabolic factor baumannii D1279779]	Acinetobacter

VFG037243(gb|WP_001032913)	VFC0272)]	 non-ribosomal peptide biosynthesis thioesterase BasH - Nutritional/Metabolic factor baumannii 1656-2]	Acinetobacter

VFG037244(gb|WP_001032905)	VFC0272)]	 non-ribosomal peptide biosynthesis thioesterase BasH - Nutritional/Metabolic factor baumannii AB0057]	Acinetobacter

VFG037246(gb|WP_001032906)	VFC0272)]	 non-ribosomal peptide biosynthesis thioesterase BasH - Nutritional/Metabolic factor baumannii ACICU]	Acinetobacter

VFG037247(gb|YP_001085395)	VFC0272)]	 non-ribosomal peptide biosynthesis thioesterase BasH - Nutritional/Metabolic factor baumannii ATCC 17978]	Acinetobacter

VFG037250(gb|WP_020753355)	VFC0272)]	 non-ribosomal peptide biosynthesis thioesterase BasH - Nutritional/Metabolic factor baumannii BJAB0715]	Acinetobacter

VFG037252(gb|WP_001032911)	VFC0272)]	 non-ribosomal peptide biosynthesis thioesterase BasH - Nutritional/Metabolic factor baumannii D1279779]	Acinetobacter

VFG037255(gb|YP_005799703)	VFC0272)]	 non-ribosomal peptide biosynthesis thioesterase BasH - Nutritional/Metabolic factor baumannii TCDC-AB0715]	Acinetobacter

VFG037260(gb|WP_001095752)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii ACICU]	Acinetobacter

VFG037258(gb|WP_001090101)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii AB0057]	Acinetobacter

VFG037261(gb|YP_001085396)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii ATCC 17978]	Acinetobacter

VFG037264(gb|WP_020753356)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii BJAB0715]	Acinetobacter

VFG037266(gb|WP_001090102)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii D1279779]	Acinetobacter

VFG037272(gb|WP_001281555)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii AB0057]	Acinetobacter

VFG037273(gb|WP_001281554)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii AB307-0294]	Acinetobacter

VFG037274(gb|WP_001281538)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii ACICU]	Acinetobacter

VFG037275(gb|YP_001085399)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii ATCC 17978]	Acinetobacter

VFG037277(gb|WP_031967279)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii BJAB07104]	Acinetobacter

VFG037278(gb|WP_139161447)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii BJAB0715]	Acinetobacter

VFG037280(gb|WP_001281545)	VFC0272)]	 siderophore efflux system of the ABC superfamily - Nutritional/Metabolic factor baumannii D1279779]	Acinetobacter

